,Unnamed:_0,Employee_ID,Gender,Company_Type,WFH_Setup_Available,Designation,Resource_Allocation,Mental_Fatigue_Score,Burn_Rate
37,37,EMP0038,Male,Product,No,5,3,2.9,0.44
38,38,EMP0039,Female,Service,No,4,3,0.6,0.39
39,39,EMP0040,Male,Service,No,2,6,0.5,0.42
40,40,EMP0041,Male,Service,No,1,8,4.3,0.55
41,41,EMP0042,Male,Service,Yes,0,3,9.3,0.49
42,42,EMP0043,Male,Service,Yes,1,3,2.9,0.24
43,43,EMP0044,Female,Service,No,0,6,4.3,0.48
44,44,EMP0045,Male,Product,No,4,8,1.0,0.47
45,45,EMP0046,Female,Service,No,1,6,4.9,0.54
46,46,EMP0047,Male,Product,Yes,4,10,7.0,0.66
47,47,EMP0048,Male,Product,Yes,2,3,2.7,0.2
48,48,EMP0049,Male,Product,Yes,0,4,3.0,0.2
49,49,EMP0050,Male,Product,Yes,5,1,8.4,0.52
50,50,EMP0051,Female,Product,Yes,2,8,0.1,0.29
51,51,EMP0052,Female,Product,No,0,4,6.4,0.46
52,52,EMP0053,Female,Service,Yes,4,6,3.9,0.49
53,53,EMP0054,Female,Service,Yes,3,3,3.0,0.33
54,54,EMP0055,Female,Product,Yes,1,6,6.6,0.42
55,55,EMP0056,Female,Service,No,4,9,8.3,0.86
56,56,EMP0057,Male,Service,Yes,0,9,5.6,0.52
57,57,EMP0058,Male,Product,Yes,0,10,0.3,0.21
58,58,EMP0059,Male,Product,Yes,0,3,4.6,0.24
59,59,EMP0060,Male,Service,Yes,0,3,4.6,0.29
60,60,EMP0061,Male,Service,No,1,4,5.4,0.49
61,61,EMP0062,Male,Service,No,2,7,6.7,0.68
62,62,EMP0063,Female,Product,Yes,5,3,0.2,0.21
63,63,EMP0064,Male,Product,Yes,3,10,5.0,0.54
64,64,EMP0065,Male,Product,No,1,8,5.9,0.6
65,65,EMP0066,Male,Product,Yes,0,8,3.4,0.33
66,66,EMP0067,Male,Product,Yes,1,6,6.7,0.41
67,67,EMP0068,Female,Product,Yes,4,4,2.3,0.28
68,68,EMP0069,Male,Service,No,5,5,3.2,0.59
69,69,EMP0070,Female,Service,Yes,0,2,9.6,0.48
70,70,EMP0071,Female,Product,Yes,3,6,3.5,0.39
71,71,EMP0072,Male,Service,No,0,3,3.5,0.31
72,72,EMP0073,Male,Product,Yes,5,6,6.0,0.55
73,73,EMP0074,Female,Service,Yes,3,5,9.7,0.68
74,74,EMP0075,Female,Product,No,5,2,9.8,0.7
75,75,EMP0076,Female,Service,Yes,3,5,5.8,0.49
76,76,EMP0077,Female,Service,No,2,5,0.0,0.33
77,77,EMP0078,Male,Service,Yes,2,9,9.0,0.72
78,78,EMP0079,Male,Product,Yes,1,8,5.7,0.44
79,79,EMP0080,Male,Service,Yes,1,7,3.7,0.41
80,80,EMP0081,Female,Product,Yes,3,3,8.3,0.47
81,81,EMP0082,Female,Service,Yes,0,10,4.0,0.45
82,82,EMP0083,Male,Service,No,4,4,0.3,0.39
83,83,EMP0084,Male,Product,Yes,4,6,8.2,0.64
84,84,EMP0085,Male,Service,Yes,0,3,5.5,0.33
85,85,EMP0086,Male,Service,Yes,0,9,3.4,0.42
86,86,EMP0087,Female,Product,No,2,8,2.5,0.48
87,87,EMP0088,Female,Service,Yes,4,6,5.9,0.56
88,88,EMP0089,Female,Product,Yes,3,4,2.1,0.24
89,89,EMP0090,Male,Service,Yes,5,7,3.2,0.51
90,90,EMP0091,Male,Service,Yes,1,3,6.4,0.41
91,91,EMP0092,Female,Service,Yes,5,10,8.8,0.87
92,92,EMP0093,Female,Service,No,2,8,5.3,0.63
93,93,EMP0094,Female,Service,Yes,4,1,7.6,0.52
94,94,EMP0095,Female,Product,Yes,0,3,7.6,0.34
95,95,EMP0096,Male,Service,Yes,4,5,6.6,0.59
96,96,EMP0097,Male,Product,No,3,5,2.5,0.44
97,97,EMP0098,Male,Service,Yes,2,10,8.7,0.7
98,98,EMP0099,Male,Product,Yes,0,2,4.4,0.19
99,99,EMP0100,Male,Product,Yes,5,10,0.4,0.43
100,100,EMP0101,Male,Service,Yes,3,8,2.4,0.4
101,101,EMP0102,Female,Product,Yes,5,5,7.7,0.58
102,102,EMP0103,Male,Service,Yes,1,7,0.7,0.26
103,103,EMP0104,Male,Product,Yes,2,7,1.5,0.3
104,104,EMP0105,Female,Product,Yes,3,5,6.9,0.49
105,105,EMP0106,Male,Service,Yes,3,8,8.9,0.73
106,106,EMP0107,Male,Product,Yes,5,9,6.3,0.65
107,107,EMP0108,Female,Product,Yes,0,4,2.2,0.16
108,108,EMP0109,Male,Service,No,1,4,0.5,0.3
109,109,EMP0110,Male,Product,No,5,8,6.2,0.75
110,110,EMP0111,Male,Service,No,3,1,0.5,0.25
111,111,EMP0112,Male,Product,No,2,4,6.1,0.51
112,112,EMP0113,Female,Product,No,3,6,2.3,0.5
113,113,EMP0114,Female,Service,No,4,4,9.0,0.79
114,114,EMP0115,Female,Product,Yes,2,6,4.8,0.38
115,115,EMP0116,Female,Product,No,2,5,2.2,0.41
116,116,EMP0117,Female,Product,Yes,3,9,8.5,0.67
117,117,EMP0118,Male,Product,Yes,0,10,2.5,0.36
118,118,EMP0119,Female,Service,No,2,9,3.1,0.6
119,119,EMP0120,Male,Product,Yes,4,4,8.3,0.56
120,120,EMP0121,Female,Service,Yes,5,4,3.1,0.43
121,121,EMP0122,Female,Service,No,0,8,4.1,0.53
122,122,EMP0123,Male,Product,Yes,0,10,3.5,0.38
123,123,EMP0124,Male,Service,Yes,0,4,1.2,0.14
124,124,EMP0125,Male,Product,No,2,2,0.4,0.18
125,125,EMP0126,Male,Service,No,0,2,7.2,0.49
126,126,EMP0127,Female,Product,Yes,3,1,6.5,0.34
127,127,EMP0128,Female,Service,Yes,0,5,2.8,0.25
128,128,EMP0129,Male,Service,Yes,4,6,3.0,0.5
129,129,EMP0130,Male,Product,No,1,9,9.5,0.82
130,130,EMP0131,Male,Service,Yes,4,5,9.9,0.73
131,131,EMP0132,Male,Service,Yes,2,6,4.7,0.46
132,132,EMP0133,Male,Product,Yes,0,6,8.0,0.44
133,133,EMP0134,Male,Product,Yes,0,3,7.4,0.32
134,134,EMP0135,Female,Service,No,3,4,3.0,0.47
135,135,EMP0136,Male,Service,Yes,5,1,0.6,0.23
136,136,EMP0137,Male,Service,No,0,4,1.4,0.31
137,137,EMP0138,Female,Service,Yes,4,1,8.4,0.5
138,138,EMP0139,Male,Service,No,2,5,7.3,0.69
139,139,EMP0140,Female,Service,No,1,8,6.6,0.68
140,140,EMP0141,Female,Product,Yes,0,8,1.3,0.2
141,141,EMP0142,Male,Product,Yes,1,5,6.4,0.4
142,142,EMP0143,Male,Service,Yes,0,10,7.7,0.61
143,143,EMP0144,Male,Service,No,2,2,8.6,0.6
144,144,EMP0145,Male,Product,Yes,5,6,0.1,0.28
145,145,EMP0146,Male,Product,No,4,1,6.8,0.52
146,146,EMP0147,Female,Service,No,2,7,0.2,0.45
147,147,EMP0148,Male,Service,No,1,4,7.1,0.58
148,148,EMP0149,Male,Product,No,0,5,6.4,0.49
149,149,EMP0150,Male,Service,Yes,1,6,1.5,0.29
150,150,EMP0151,Female,Product,Yes,4,1,7.7,0.43
151,151,EMP0152,Male,Product,Yes,2,9,0.7,0.29
152,152,EMP0153,Male,Product,No,1,10,8.3,0.72
153,153,EMP0154,Male,Product,No,1,4,2.6,0.31
154,154,EMP0155,Female,Service,No,4,8,6.9,0.82
155,155,EMP0156,Male,Product,Yes,0,5,9.2,0.49
156,156,EMP0157,Female,Service,Yes,1,8,3.4,0.42
157,157,EMP0158,Female,Service,No,4,1,5.0,0.51
158,158,EMP0159,Male,Product,Yes,0,8,4.6,0.37
159,159,EMP0160,Female,Service,Yes,5,4,1.6,0.36
160,160,EMP0161,Male,Service,No,0,2,5.9,0.41
161,161,EMP0162,Female,Service,Yes,5,6,7.4,0.65
162,162,EMP0163,Female,Product,Yes,2,2,9.2,0.49
163,163,EMP0164,Male,Service,Yes,4,5,8.5,0.66
164,164,EMP0165,Male,Service,Yes,0,2,5.1,0.26
165,165,EMP0166,Female,Product,No,5,3,7.2,0.67
166,166,EMP0167,Male,Product,Yes,5,6,8.0,0.68
167,167,EMP0168,Male,Service,Yes,2,1,4.9,0.36
168,168,EMP0169,Male,Service,Yes,3,6,1.2,0.33
169,169,EMP0170,Female,Product,No,4,3,4.4,0.48
170,170,EMP0171,Female,Service,Yes,3,7,8.4,0.69
171,171,EMP0172,Male,Product,Yes,0,2,6.0,0.28
172,172,EMP0173,Male,Service,Yes,4,6,7.2,0.63
173,173,EMP0174,Male,Product,Yes,2,8,1.9,0.31
174,174,EMP0175,Female,Service,Yes,0,1,9.6,0.42
175,175,EMP0176,Male,Product,No,4,9,4.0,0.67
176,176,EMP0177,Female,Product,No,4,5,6.5,0.64
177,177,EMP0178,Male,Product,Yes,3,5,0.2,0.2
178,178,EMP0179,Female,Product,Yes,0,5,1.3,0.13
179,179,EMP0180,Male,Service,No,2,6,7.8,0.7
180,180,EMP0181,Male,Product,Yes,2,2,9.7,0.5
181,181,EMP0182,Male,Service,No,0,6,3.2,0.42
182,182,EMP0183,Female,Product,Yes,0,4,0.4,0.04
183,183,EMP0184,Female,Product,No,5,8,3.6,0.67
184,184,EMP0185,Male,Product,No,1,9,0.2,0.37
185,185,EMP0186,Female,Product,No,3,9,1.9,0.52
186,186,EMP0187,Female,Product,No,0,8,7.5,0.63
187,187,EMP0188,Female,Product,Yes,0,3,9.4,0.41
188,188,EMP0189,Male,Service,No,1,10,0.9,0.51
189,189,EMP0190,Male,Product,Yes,1,4,5.6,0.32
190,190,EMP0191,Male,Service,Yes,4,1,2.5,0.3
191,191,EMP0192,Female,Service,No,2,9,1.4,0.49
192,192,EMP0193,Female,Product,No,3,5,2.2,0.42
193,193,EMP0194,Female,Service,No,4,6,5.8,0.69
194,194,EMP0195,Male,Service,Yes,0,3,0.7,0.1
195,195,EMP0196,Male,Service,No,1,10,4.3,0.66
196,196,EMP0197,Female,Service,No,5,8,1.4,0.6
197,197,EMP0198,Female,Product,Yes,2,7,2.7,0.34
198,198,EMP0199,Female,Service,Yes,4,1,1.9,0.27
199,199,EMP0200,Female,Service,Yes,5,10,8.8,0.88
200,200,EMP0201,Female,Service,Yes,2,5,7.1,0.5
201,201,EMP0202,Male,Service,No,5,10,8.7,0.97
202,202,EMP0203,Male,Product,No,1,9,3.8,0.54
203,203,EMP0204,Female,Product,No,4,6,3.1,0.53
204,204,EMP0205,Female,Service,No,4,8,3.8,0.66
205,205,EMP0206,Male,Service,Yes,2,10,0.2,0.38
206,206,EMP0207,Male,Product,No,5,1,7.2,0.58
207,207,EMP0208,Female,Product,Yes,1,10,3.5,0.43
208,208,EMP0209,Male,Product,No,0,7,3.1,0.38
209,209,EMP0210,Male,Product,Yes,4,3,6.0,0.4
210,210,EMP0211,Male,Service,No,0,9,4.4,0.54
211,211,EMP0212,Female,Service,Yes,1,6,9.8,0.63
212,212,EMP0213,Female,Product,Yes,4,5,3.6,0.36
213,213,EMP0214,Male,Product,No,4,8,6.1,0.75
214,214,EMP0215,Female,Product,Yes,5,8,3.1,0.5
215,215,EMP0216,Male,Product,No,0,3,9.9,0.55
216,216,EMP0217,Male,Service,Yes,5,2,4.5,0.45
217,217,EMP0218,Female,Service,No,3,2,6.3,0.58
218,218,EMP0219,Female,Service,Yes,0,5,1.3,0.22
219,219,EMP0220,Female,Product,Yes,0,10,7.3,0.53
220,220,EMP0221,Female,Service,Yes,3,7,2.7,0.44
221,221,EMP0222,Female,Service,Yes,1,8,4.5,0.49
222,222,EMP0223,Male,Service,Yes,1,10,8.8,0.74
223,223,EMP0224,Male,Service,Yes,4,8,9.7,0.77
224,224,EMP0225,Male,Product,Yes,2,8,4.2,0.42
225,225,EMP0226,Male,Product,Yes,5,10,8.3,0.76
226,226,EMP0227,Female,Product,Yes,2,3,0.5,0.15
227,227,EMP0228,Male,Product,No,4,2,8.5,0.64
228,228,EMP0229,Female,Product,Yes,2,4,6.3,0.41
229,229,EMP0230,Female,Service,Yes,0,1,4.9,0.24
230,230,EMP0231,Female,Service,No,0,3,8.9,0.59
231,231,EMP0232,Male,Service,Yes,3,9,8.5,0.73
232,232,EMP0233,Female,Product,No,3,7,3.0,0.5
233,233,EMP0234,Male,Service,Yes,4,7,7.9,0.69
234,234,EMP0235,Male,Service,Yes,4,1,1.0,0.2
235,235,EMP0236,Female,Service,Yes,4,7,8.2,0.69
236,236,EMP0237,Male,Service,No,0,10,6.8,0.71
237,237,EMP0238,Male,Service,No,2,7,0.9,0.43
238,238,EMP0239,Female,Service,Yes,5,4,6.8,0.59
239,239,EMP0240,Male,Product,Yes,4,7,5.8,0.53
240,240,EMP0241,Female,Product,No,4,8,5.9,0.69
241,241,EMP0242,Female,Product,Yes,0,3,2.9,0.13
242,242,EMP0243,Female,Product,Yes,5,10,2.7,0.54
243,243,EMP0244,Male,Product,No,0,2,7.6,0.46
244,244,EMP0245,Male,Service,No,5,7,2.6,0.64
245,245,EMP0246,Female,Service,Yes,0,5,4.5,0.31
246,246,EMP0247,Male,Service,No,2,5,6.9,0.65
247,247,EMP0248,Female,Product,No,4,5,0.8,0.4
248,248,EMP0249,Female,Service,Yes,1,7,5.9,0.51
249,249,EMP0250,Female,Service,Yes,1,9,5.9,0.58
250,250,EMP0251,Male,Product,Yes,4,8,6.8,0.6
251,251,EMP0252,Male,Service,No,4,6,3.7,0.6
252,252,EMP0253,Female,Product,No,4,7,4.5,0.64
253,253,EMP0254,Male,Product,Yes,4,9,3.3,0.53
254,254,EMP0255,Male,Service,No,5,6,8.1,0.83
255,255,EMP0256,Female,Product,Yes,2,1,1.3,0.1
256,256,EMP0257,Female,Service,Yes,1,4,9.6,0.58
257,257,EMP0258,Female,Service,Yes,3,8,6.3,0.65
258,258,EMP0259,Female,Service,Yes,1,7,8.9,0.63
259,259,EMP0260,Male,Product,No,1,3,4.3,0.34
260,260,EMP0261,Female,Product,Yes,0,10,3.3,0.37
261,261,EMP0262,Female,Product,No,4,3,9.0,0.74
262,262,EMP0263,Male,Service,Yes,4,3,1.0,0.25
263,263,EMP0264,Male,Product,Yes,4,1,1.2,0.16
264,264,EMP0265,Female,Product,No,0,10,3.0,0.53
265,265,EMP0266,Female,Service,Yes,2,1,9.6,0.49
266,266,EMP0267,Female,Service,Yes,2,6,6.3,0.47
267,267,EMP0268,Female,Product,Yes,3,1,5.5,0.26
268,268,EMP0269,Male,Service,No,2,5,7.1,0.63
269,269,EMP0270,Male,Service,Yes,2,4,4.2,0.33
270,270,EMP0271,Female,Product,Yes,4,5,7.6,0.58
271,271,EMP0272,Female,Product,Yes,5,7,3.9,0.5
272,272,EMP0273,Female,Service,Yes,1,6,8.3,0.53
273,273,EMP0274,Female,Service,No,2,9,2.7,0.55
274,274,EMP0275,Male,Service,Yes,2,6,2.8,0.39
275,275,EMP0276,Male,Product,Yes,0,9,5.2,0.43
276,276,EMP0277,Female,Product,Yes,3,4,4.3,0.37
277,277,EMP0278,Female,Product,Yes,5,1,6.5,0.44
278,278,EMP0279,Female,Product,No,0,1,3.6,0.21
279,279,EMP0280,Female,Product,Yes,4,10,2.3,0.5
280,280,EMP0281,Female,Product,No,1,7,4.7,0.52
281,281,EMP0282,Male,Service,Yes,3,3,5.6,0.4
282,282,EMP0283,Male,Service,Yes,0,2,1.4,0.08
283,283,EMP0284,Male,Service,No,2,6,5.6,0.66
284,284,EMP0285,Female,Service,Yes,2,6,3.2,0.37
285,285,EMP0286,Male,Product,No,3,7,3.9,0.55
286,286,EMP0287,Male,Service,No,2,5,2.8,0.46
287,287,EMP0288,Male,Product,Yes,0,8,9.3,0.58
288,288,EMP0289,Male,Service,Yes,0,7,6.8,0.49
289,289,EMP0290,Female,Service,No,2,2,2.6,0.38
290,290,EMP0291,Male,Service,Yes,2,1,6.5,0.39
291,291,EMP0292,Male,Service,Yes,4,9,8.5,0.78
292,292,EMP0293,Female,Service,Yes,1,5,4.0,0.33
293,293,EMP0294,Male,Product,Yes,3,5,8.3,0.54
294,294,EMP0295,Male,Product,No,0,10,1.5,0.39
295,295,EMP0296,Male,Service,Yes,3,4,8.2,0.57
296,296,EMP0297,Female,Product,Yes,4,2,5.4,0.34
297,297,EMP0298,Male,Service,No,0,5,2.2,0.36
298,298,EMP0299,Female,Service,Yes,4,2,4.1,0.38
299,299,EMP0300,Male,Product,Yes,4,7,9.9,0.74
300,300,EMP0301,Male,Service,No,5,9,7.8,0.89
301,301,EMP0302,Male,Service,Yes,2,9,5.8,0.57
302,302,EMP0303,Male,Service,No,5,6,1.2,0.56
303,303,EMP0304,Female,Service,No,3,1,4.2,0.41
304,304,EMP0305,Female,Service,Yes,3,6,2.6,0.43
305,305,EMP0306,Female,Service,Yes,2,5,0.7,0.23
306,306,EMP0307,Male,Service,Yes,5,4,5.4,0.51
307,307,EMP0308,Male,Product,Yes,3,6,8.9,0.62
308,308,EMP0309,Female,Service,No,5,6,6.8,0.78
309,309,EMP0310,Male,Service,No,2,6,2.5,0.51
310,310,EMP0311,Male,Product,Yes,0,2,5.7,0.2
311,311,EMP0312,Male,Service,No,4,7,9.4,0.89
312,312,EMP0313,Male,Service,No,4,4,7.2,0.69
313,313,EMP0314,Female,Product,No,5,9,6.9,0.79
314,314,EMP0315,Female,Service,Yes,3,10,9.7,0.86
315,315,EMP0316,Female,Service,Yes,5,2,8.0,0.58
316,316,EMP0317,Male,Service,Yes,5,5,1.4,0.39
317,317,EMP0318,Male,Product,No,1,4,3.5,0.37
318,318,EMP0319,Male,Product,Yes,4,9,9.7,0.74
319,319,EMP0320,Male,Product,Yes,2,4,4.9,0.31
320,320,EMP0321,Male,Service,Yes,5,8,1.1,0.46
321,321,EMP0322,Female,Product,Yes,1,8,4.6,0.41
322,322,EMP0323,Female,Service,Yes,1,6,7.0,0.54
323,323,EMP0324,Male,Product,No,4,6,10.0,0.8
324,324,EMP0325,Female,Product,Yes,4,8,3.2,0.44
325,325,EMP0326,Female,Service,Yes,4,10,5.1,0.67
326,326,EMP0327,Female,Service,Yes,2,9,8.8,0.72
327,327,EMP0328,Female,Product,Yes,1,5,3.6,0.24
328,328,EMP0329,Male,Product,Yes,3,1,1.1,0.1
329,329,EMP0330,Male,Product,Yes,2,1,9.5,0.44
330,330,EMP0331,Male,Service,Yes,0,2,4.9,0.26
331,331,EMP0332,Female,Service,Yes,5,10,5.0,0.7
332,332,EMP0333,Male,Product,Yes,4,10,6.2,0.63
333,333,EMP0334,Male,Product,Yes,1,5,0.0,0.12
334,334,EMP0335,Male,Product,No,5,4,9.3,0.78
335,335,EMP0336,Male,Service,No,2,1,3.6,0.32
336,336,EMP0337,Female,Service,Yes,0,4,4.0,0.28
337,337,EMP0338,Female,Product,Yes,2,4,1.7,0.17
338,338,EMP0339,Male,Service,No,2,10,3.8,0.66
339,339,EMP0340,Male,Product,Yes,3,4,8.0,0.48
340,340,EMP0341,Male,Product,No,5,1,8.0,0.61
341,341,EMP0342,Male,Service,No,3,9,9.4,0.94
342,342,EMP0343,Male,Service,Yes,2,3,4.0,0.31
343,343,EMP0344,Male,Service,Yes,0,4,7.1,0.4
344,344,EMP0345,Male,Service,No,1,5,5.1,0.51
345,345,EMP0346,Female,Product,Yes,1,7,8.0,0.53
346,346,EMP0347,Female,Service,Yes,5,6,7.1,0.65
347,347,EMP0348,Male,Product,Yes,4,5,3.7,0.38
348,348,EMP0349,Male,Service,Yes,4,8,3.4,0.52
349,349,EMP0350,Female,Product,No,1,1,2.5,0.22
350,350,EMP0351,Male,Service,No,2,7,5.8,0.66
351,351,EMP0352,Female,Product,No,2,6,9.6,0.73
352,352,EMP0353,Female,Product,Yes,3,5,2.0,0.25
353,353,EMP0354,Male,Service,Yes,5,7,1.0,0.44
354,354,EMP0355,Male,Product,Yes,3,3,1.2,0.24
355,355,EMP0356,Female,Service,Yes,4,1,7.8,0.53
356,356,EMP0357,Male,Product,Yes,1,9,3.5,0.38
357,357,EMP0358,Female,Product,No,2,2,2.2,0.28
358,358,EMP0359,Female,Product,No,1,10,3.5,0.55
359,359,EMP0360,Female,Product,Yes,0,3,6.5,0.31
360,360,EMP0361,Male,Service,No,1,8,5.5,0.62
361,361,EMP0362,Female,Product,Yes,0,10,7.4,0.55
362,362,EMP0363,Male,Service,Yes,3,9,3.4,0.51
363,363,EMP0364,Male,Service,No,3,3,4.5,0.53
364,364,EMP0365,Female,Product,Yes,4,6,1.0,0.31
365,365,EMP0366,Male,Service,No,1,7,0.7,0.4
366,366,EMP0367,Female,Service,No,1,1,4.6,0.4
367,367,EMP0368,Female,Service,Yes,0,7,3.0,0.36
368,368,EMP0369,Male,Product,No,3,4,6.1,0.57
369,369,EMP0370,Male,Product,Yes,0,5,0.4,0.12
370,370,EMP0371,Male,Service,Yes,3,8,1.2,0.43
371,371,EMP0372,Male,Service,Yes,0,4,8.7,0.47
372,372,EMP0373,Male,Service,Yes,3,4,5.7,0.46
373,373,EMP0374,Female,Product,No,0,8,7.1,0.62
374,374,EMP0375,Male,Service,Yes,3,5,8.4,0.6
375,375,EMP0376,Male,Service,No,5,6,4.6,0.67
376,376,EMP0377,Female,Service,Yes,0,5,7.6,0.47
377,377,EMP0378,Male,Product,Yes,1,1,5.2,0.21
378,378,EMP0379,Female,Service,No,4,7,2.2,0.57
379,379,EMP0380,Male,Product,Yes,5,6,3.4,0.42
380,380,EMP0381,Male,Product,Yes,5,2,4.9,0.38
381,381,EMP0382,Female,Service,Yes,0,7,3.2,0.34
382,382,EMP0383,Female,Product,Yes,4,6,3.4,0.44
383,383,EMP0384,Female,Product,Yes,1,5,3.4,0.26
384,384,EMP0385,Female,Product,No,5,8,1.2,0.52
385,385,EMP0386,Female,Service,Yes,1,5,0.8,0.23
386,386,EMP0387,Male,Service,Yes,3,2,0.5,0.12
387,387,EMP0388,Male,Product,No,4,6,1.1,0.42
388,388,EMP0389,Female,Service,Yes,2,1,3.4,0.23
389,389,EMP0390,Female,Service,No,3,5,5.9,0.64
390,390,EMP0391,Female,Product,Yes,4,6,1.9,0.36
391,391,EMP0392,Male,Service,Yes,0,7,8.9,0.62
392,392,EMP0393,Male,Service,No,0,2,8.1,0.53
393,393,EMP0394,Female,Service,Yes,1,1,5.2,0.25
394,394,EMP0395,Male,Product,No,5,6,7.2,0.72
395,395,EMP0396,Female,Service,Yes,2,3,3.7,0.31
396,396,EMP0397,Female,Service,Yes,0,5,0.4,0.17
397,397,EMP0398,Male,Product,Yes,4,2,9.0,0.53
398,398,EMP0399,Female,Product,Yes,5,1,1.3,0.19
399,399,EMP0400,Female,Product,No,5,1,9.5,0.65
400,400,EMP0401,Male,Product,Yes,4,4,5.7,0.43
401,401,EMP0402,Female,Service,No,5,10,3.1,0.72
402,402,EMP0403,Male,Product,No,0,2,5.0,0.36
403,403,EMP0404,Female,Product,Yes,4,1,5.0,0.31
404,404,EMP0405,Male,Service,Yes,4,6,0.2,0.33
405,405,EMP0406,Female,Product,No,1,4,3.6,0.38
406,406,EMP0407,Male,Service,No,2,10,7.4,0.82
407,407,EMP0408,Male,Product,Yes,1,7,5.1,0.38
408,408,EMP0409,Female,Product,Yes,2,6,2.4,0.31
409,409,EMP0410,Male,Product,Yes,4,5,3.4,0.38
410,410,EMP0411,Male,Product,No,5,10,8.6,0.87
411,411,EMP0412,Female,Product,Yes,2,2,5.3,0.31
412,412,EMP0413,Female,Service,No,4,5,5.3,0.66
413,413,EMP0414,Female,Service,Yes,4,9,9.6,0.83
414,414,EMP0415,Female,Product,Yes,1,9,3.2,0.41
415,415,EMP0416,Male,Service,Yes,1,2,4.8,0.31
416,416,EMP0417,Male,Service,Yes,5,7,8.1,0.76
417,417,EMP0418,Male,Service,Yes,3,10,7.6,0.75
418,418,EMP0419,Female,Product,Yes,0,4,2.7,0.18
419,419,EMP0420,Female,Product,Yes,3,3,1.5,0.16
420,420,EMP0421,Female,Product,Yes,3,1,7.0,0.34
421,421,EMP0422,Female,Service,Yes,5,3,2.6,0.39
422,422,EMP0423,Male,Service,No,2,9,9.2,0.88
423,423,EMP0424,Male,Product,Yes,5,9,1.3,0.43
424,424,EMP0425,Male,Product,Yes,5,7,3.2,0.44
425,425,EMP0426,Male,Service,Yes,4,3,0.5,0.25
426,426,EMP0427,Male,Service,No,4,3,7.0,0.63
427,427,EMP0428,Female,Service,Yes,4,4,8.9,0.64
428,428,EMP0429,Male,Service,No,0,7,6.4,0.6
429,429,EMP0430,Male,Product,No,2,7,9.4,0.74
430,430,EMP0431,Male,Service,No,2,2,1.3,0.34
431,431,EMP0432,Female,Service,Yes,4,5,0.9,0.32
432,432,EMP0433,Female,Product,No,3,7,8.4,0.74
433,433,EMP0434,Male,Service,Yes,0,7,8.6,0.55
434,434,EMP0435,Male,Service,Yes,3,6,8.3,0.66
435,435,EMP0436,Female,Product,No,1,10,8.0,0.74
436,436,EMP0437,Male,Service,Yes,2,10,3.6,0.55
437,437,EMP0438,Female,Service,No,2,8,2.2,0.48
438,438,EMP0439,Female,Service,Yes,3,3,9.3,0.59
439,439,EMP0440,Male,Product,No,0,1,3.1,0.22
440,440,EMP0441,Male,Product,Yes,2,3,4.0,0.28
441,441,EMP0442,Female,Service,Yes,3,2,7.0,0.45
442,442,EMP0443,Male,Product,Yes,5,2,2.9,0.31
